Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,43.193386
FDW14,OUT017,34.839462
NCN55,OUT010,96.504524
FDQ58,OUT017,61.97994
FDY38,OUT027,95.06157
FDH56,OUT046,47.38904
FDL48,OUT018,18.750843
FDC48,OUT027,33.294567
FDN33,OUT045,38.66485
FDA36,OUT017,74.77646
FDT44,OUT017,46.98381
FDQ56,OUT045,34.47346
NCC54,OUT019,96.90151
FDU11,OUT049,49.547733
DRL59,OUT013,21.266762
FDM24,OUT049,61.29391
FDI57,OUT045,79.53541
DRC12,OUT018,75.822815
NCM42,OUT027,44.960346
FDA46,OUT010,77.250694
FDA31,OUT013,71.22731
NCJ31,OUT035,96.00644
FDG52,OUT046,19.22109
NCL19,OUT019,57.524857
FDS10,OUT035,72.29746
FDX22,OUT010,83.82136
NCF19,OUT035,19.056192
NCE06,OUT046,65.264404
DRC27,OUT046,98.45673
FDE21,OUT035,46.76663
NCR42,OUT019,12.959428
FDX51,OUT018,77.09124
NCR06,OUT018,15.914938
FDU31,OUT027,88.4635
FDU59,OUT017,65.70493
FDR03,OUT027,83.38731
FDS49,OUT027,33.005592
FDD48,OUT010,45.40465
NCF18,OUT017,76.53287
NCD43,OUT027,42.411705
NCD54,OUT018,56.10362
FDY19,OUT010,46.12367
NCY54,OUT017,69.52022
NCL19,OUT018,56.86635
FDP23,OUT010,86.89074
FDC26,OUT013,45.82348
FDR14,OUT010,21.849575
NCS41,OUT035,73.5268
FDF41,OUT035,99.48713
FDU34,OUT046,50.18414
DRH11,OUT046,23.415154
FDM03,OUT013,43.500942
FDS31,OUT017,72.23733
FDJ20,OUT017,48.479843
FDV44,OUT027,76.80543
FDG02,OUT049,76.12897
FDA09,OUT013,72.91912
FDT04,OUT013,15.584915
FDL58,OUT019,106.05605
FDE52,OUT045,36.295662
FDW12,OUT035,58.272675
FDL51,OUT017,85.6092
NCY42,OUT027,57.757446
FDR07,OUT017,38.18465
FDN40,OUT045,61.49532
FDB35,OUT027,37.11888
FDA22,OUT017,66.28297
NCL06,OUT046,105.5234
FDI35,OUT013,73.51452
NCW42,OUT045,88.77507
NCX06,OUT049,72.360855
FDC37,OUT027,44.29918
FDZ14,OUT018,48.083588
DRG49,OUT049,98.81533
NCG06,OUT045,102.6962
DRC36,OUT045,69.819786
FDV21,OUT019,50.390556
FDB53,OUT046,59.87406
DRP47,OUT019,101.77732
FDA14,OUT013,58.91495
DRC24,OUT035,61.20302
FDW21,OUT018,39.453712
NCH29,OUT046,39.604668
FDU58,OUT013,76.77423
FDY27,OUT017,71.054214
FDV56,OUT035,43.638763
FDT59,OUT046,92.72226
FDB23,OUT046,90.55193
FDR49,OUT045,18.632557
FDB03,OUT010,96.58129
FDN39,OUT045,66.34712
FDX02,OUT027,90.59545
FDQ16,OUT027,44.135025
FDU35,OUT018,38.919315
NCT29,OUT013,49.80458
FDZ27,OUT046,19.626972
FDN57,OUT017,55.787674
FDA03,OUT018,57.067345
FDZ36,OUT045,74.74421
NCU05,OUT013,33.255764
FDT39,OUT018,59.648754
FDK60,OUT017,38.533173
FDZ25,OUT017,67.456436
FDG12,OUT046,49.493744
DRB01,OUT019,77.36377
NCC43,OUT027,101.64316
FDX13,OUT019,100.164
FDM22,OUT049,21.364624
FDJ03,OUT027,20.268513
FDU14,OUT018,98.771645
FDB33,OUT010,63.238384
FDP27,OUT046,76.883675
FDO38,OUT010,30.081707
FDE28,OUT027,94.191826
FDO27,OUT035,38.48745
DRL23,OUT027,43.96759
FDS28,OUT046,22.810911
FDX24,OUT013,37.967773
FDZ02,OUT035,38.884937
FDL46,OUT045,46.68832
FDS60,OUT027,72.77805
NCO06,OUT017,12.793875
FDO16,OUT035,34.192116
FDC60,OUT049,35.51064
FDA48,OUT018,87.093994
FDZ36,OUT027,75.87919
FDK27,OUT045,48.507103
FDW23,OUT018,14.6478815
FDM14,OUT018,42.974365
FDM14,OUT013,44.085693
FDW60,OUT018,70.361336
FDE21,OUT013,47.452736
NCM42,OUT035,44.139526
FDY59,OUT010,37.40737
DRI49,OUT049,32.831272
FDT28,OUT019,61.06398
FDQ22,OUT018,14.623224
FDR60,OUT049,30.787575
FDC50,OUT019,38.190403
FDV24,OUT013,61.957413
DRF48,OUT010,75.467606
FDQ47,OUT046,15.012481
DRN36,OUT049,39.278038
NCY06,OUT035,51.549484
FDE52,OUT035,36.0321
NCB54,OUT045,51.11661
NCF31,OUT035,61.359207
FDJ08,OUT027,77.195305
NCC07,OUT017,42.018047
NCD19,OUT027,22.268724
FDL46,OUT049,47.664413
FDM20,OUT045,98.82996
NCI06,OUT010,72.060585
DRM11,OUT035,104.227516
NCH07,OUT018,62.37091
FDS23,OUT013,53.016014
FDO49,OUT018,18.63871
FDS35,OUT049,26.445017
DRK39,OUT045,33.419147
DRI39,OUT049,23.55092
FDV04,OUT017,63.165573
NCN14,OUT035,73.054115
FDH08,OUT013,93.73391
FDS20,OUT046,73.81795
FDV40,OUT049,30.223442
FDZ48,OUT010,43.735508
FDS24,OUT027,35.971508
FDK44,OUT049,70.047
FDS48,OUT045,60.316174
FDK26,OUT010,74.8205
FDD23,OUT045,75.791504
NCH54,OUT017,64.401855
NCP14,OUT010,42.487427
FDM60,OUT010,15.305617
FDV24,OUT017,60.52269
FDH08,OUT018,90.68154
FDS12,OUT027,52.151863
